Time(Iteration),UpperConfidenceBound,ThompsonSampling,PerturbedHistoryExploration
0,0.4538349478042919,0.3861378816044569,0.4538349478042919
1,0.8482128139484558,0.7466783165766706,0.8482128139484558
2,1.1942778109497694,1.128406485770085,1.1942778109497694
3,1.7666516728562685,1.5265965235771128,1.7666516728562685
4,2.167277744208064,1.9287710761169812,2.167277744208064
5,2.524271891790394,2.288804862621309,2.524271891790394
6,3.015346938056951,2.716641740215341,3.015346938056951
7,3.36272913245883,3.1114025636681784,3.36272913245883
8,3.8962368816498354,3.548684392613455,3.8962368816498354
9,4.373769582478106,3.975369589007139,4.373769582478106
10,4.832839356879317,4.303537265397463,4.832839356879317
11,5.31670219355818,4.663746420689032,5.31670219355818
12,5.764927554757101,5.0722567031348795,5.764927554757101
13,6.1716820869787234,5.50032598299507,6.1716820869787234
14,6.585156131504424,5.8657556909882,6.585156131504424
15,7.070529442560085,6.357015445125187,7.070529442560085
16,7.337978065479426,6.836129282854597,7.337978065479426
17,7.804931762058333,7.235296672649428,7.804931762058333
18,8.243352654942818,7.647039891481415,8.243352654942818
19,8.526908027286606,8.032080652835656,8.526908027286606
20,8.844999904690054,8.554616574711797,8.844999904690054
21,9.184947974290914,8.901549883578921,9.184947974290914
22,9.638299691698052,9.342903479326264,9.638299691698052
23,9.97666012583777,9.8583601796006,9.97666012583777
24,10.357448615064378,10.124378726721767,10.357448615064378
25,10.667111769495104,10.417172855202262,10.726753956483261
26,10.941771397255112,10.758227540707491,11.054794462916515
27,11.276666169594908,11.081677965301866,11.397336442099805
28,11.721040509504107,11.472179139093068,11.713588592233043
29,12.22548609714389,11.897882199064508,12.02805796856499
30,12.476424344418719,12.345609070870799,12.434003519097285
31,12.8911055113043,12.726967535792518,12.800399027814157
32,13.244767558755367,13.09240011165318,13.032028292780396
33,13.722699978978733,13.423432813900842,13.401393550977332
34,14.110476785115821,13.748937443760962,13.673883051442875
35,14.388455757577939,14.06063850295915,14.002664431236974
36,14.783891110990945,14.459662196317524,14.354871346346446
37,15.08991759396165,14.831359333155296,14.785668504402622
38,15.464405010793683,15.078528770954364,15.035168339034055
39,15.95823017898367,15.42174656635947,15.441445104225613
40,16.372868019792463,15.831905269869846,15.746142686053432
41,16.712548077188277,16.208342352498878,16.03377621716406
42,17.10594054440832,16.528073659917304,16.418265947228015
43,17.416182931831067,16.995517619457853,16.749768476567475
44,17.869172608904712,17.319607827991153,17.16547553272338
45,18.196193661634226,17.670205109965057,17.572097134885635
46,18.53362306990498,18.013619398005794,17.802469129060235
47,18.939025246845127,18.308247577109864,18.1559735255234
48,19.249894974731486,18.627748660081227,18.499237048695957
49,19.640489304486447,19.026309960787593,18.74854735448718
50,19.995048858234632,19.354069120306562,19.092784405825533
51,20.37169678693235,19.666022071962878,19.515962982426462
52,20.758894861050045,19.958435871881626,19.85773548237056
53,21.12443890773305,20.379972595044507,20.21217925277523
54,21.397881050380875,20.733659919898866,20.482364278966124
55,21.762163145386506,21.186620658690384,20.70239992134239
56,22.09923502086783,21.497219726547556,20.93140405946765
57,22.57425164424533,21.80180776952717,21.285219397203086
58,22.924975930137673,22.137626824748466,21.51467398937014
59,23.25650809348837,22.408307861671403,21.703550086395634
60,23.711329726980658,22.73824343028247,21.930606107375656
61,24.13219706488729,23.07706373218536,22.156546188962988
62,24.490961219932927,23.419731691738527,22.317149113354553
63,24.885480849431712,23.710171198633994,22.640799431066615
64,25.29071618538206,24.14459928360984,23.005425299635412
65,25.67160826356964,24.55018908901895,23.22998529137562
66,26.036871027264475,24.843510612033874,23.463139447538225
67,26.29582860218286,25.255147352928066,23.849006985097578
68,26.632516959789562,25.509330079966688,24.226720295119755
69,27.061621301688444,25.736070943080563,24.519478793117738
70,27.468334063322708,26.1782907472164,24.76398795933495
71,27.8473474138493,26.50534050266463,25.029246852661487
72,28.156313693854337,26.821075909501804,25.33787305900558
73,28.435421213240023,27.019382694576887,25.582309341981254
